ID,timestamp,latitude,longitude,temperature,humidity
5293,1420728840,-37.8149218,144.9822582,16.12,71.31
5294,1420729440,-37.8149218,144.9822582,15.8,71.31
5295,1420730040,-37.8149218,144.9822582,15.8,71.78
5296,1420730700,-37.8149218,144.9822582,15.8,71.62
5297,1420731300,-37.8149218,144.9822582,15.8,72.1
5298,1420731900,-37.8149218,144.9822582,15.8,71.78
5299,1420732500,-37.8149218,144.9822582,15.8,
5300,1420733160,-37.8149218,144.9822582,15.48,71.94
5301,1420733760,-37.8149218,144.9822582,15.48,71.15
5302,1420734360,-37.8149218,144.9822582,15.48,72.41
5303,1420735020,-37.8149218,144.9822582,15.16,71.78
5304,1420735620,-37.8149218,144.9822582,15.48,71.15
5305,1420736220,-37.8149218,144.9822582,15.48,70.84
5306,1420736820,-37.8149218,144.9822582,15.48,70.52
5307,1420737480,-37.8149218,144.9822582,15.48,70.99
5308,1420738080,-37.8149218,144.9822582,15.16,71.15
5309,1420738680,-37.8149218,144.9822582,,69.89
5310,1420739280,-37.8149218,144.9822582,15.48,68.63
5311,1420739940,-37.8149218,144.9822582,15.16,68.94
5312,1420740540,-37.8149218,144.9822582,,68.31
5313,1420741140,-37.8149218,144.9822582,15.48,66.58
5314,1420741740,-37.8149218,144.9822582,15.8,65.63
5315,1420742400,-37.8149218,144.9822582,16.12,64.53
5316,1420743000,-37.8149218,144.9822582,16.77,63.43
5317,1420743600,-37.8149218,144.9822582,16.45,62.48
5318,1420744260,-37.8149218,144.9822582,16.45,62.8
5319,1420744860,-37.8149218,144.9822582,16.12,63.27
5320,1420745460,-37.8149218,144.9822582,15.8,64.53
5321,1420746060,-37.8149218,144.9822582,15.8,65.16
5322,1420746720,-37.8149218,144.9822582,15.8,64.21
5323,1420747320,-37.8149218,144.9822582,16.12,62.64
5324,1420747920,-37.8149218,144.9822582,16.45,62.32
5325,1420748520,-37.8149218,144.9822582,16.12,62.64
5326,1420749180,-37.8149218,144.9822582,15.8,61.53
5327,1420749780,-37.8149218,144.9822582,16.12,61.22
5328,1420750380,-37.8149218,144.9822582,16.12,61.69
5329,1420750980,-37.8149218,144.9822582,16.45,60.9
5330,1420751640,-37.8149218,144.9822582,16.45,60.12
5331,1420752240,-37.8149218,144.9822582,16.12,59.96
5332,1420752840,-37.8149218,144.9822582,16.12,59.8
5333,1420753500,-37.8149218,144.9822582,16.12,60.27
5334,1420754100,-37.8149218,144.9822582,16.12,59.48
5335,1420754700,-37.8149218,144.9822582,16.45,59.64
5336,1420755300,-37.8149218,144.9822582,16.45,59.17
5337,1420755960,-37.8149218,144.9822582,16.45,
5338,1420756560,-37.8149218,144.9822582,16.45,57.91
5339,1420757160,-37.8149218,144.9822582,17.09,57.44
5340,1420757760,-37.8149218,144.9822582,17.09,57.28
5341,1420758420,-37.8149218,144.9822582,16.45,57.75
5342,1420759020,-37.8149218,144.9822582,16.77,58.7
5343,1420759620,-37.8149218,144.9822582,16.45,59.48
5344,1420760220,-37.8149218,144.9822582,16.45,59.17
5345,1420760880,-37.8149218,144.9822582,16.12,59.33
5346,1420761480,-37.8149218,144.9822582,16.12,59.64
5347,1420762080,-37.8149218,144.9822582,16.12,59.17
5348,1420762740,-37.8149218,144.9822582,16.12,58.7
5349,1420763340,-37.8149218,144.9822582,15.48,59.64
5350,1420763940,-37.8149218,144.9822582,15.8,61.69
5351,1420764540,-37.8149218,144.9822582,15.48,60.27
5352,1420765200,-37.8149218,144.9822582,15.8,59.48
5353,1418063460,-37.8134078,144.9794923,23.54,36.31
5354,1418064120,-37.8134078,144.9794923,23.22,36.15
5355,1418064720,-37.8134078,144.9794923,23.54,35.84
5356,1418065320,-37.8134078,144.9794923,23.54,
